tm     Tsp    T1     Q1    
 504.0  58.00  58.01  61.79 
 505.0  58.00  57.69  61.92 
 506.1  58.00  58.01  61.92 
 507.1  58.00  58.01  61.92 
 508.1  58.00  58.01  61.93 
 509.1  58.00  58.01  61.93 
 510.1  58.00  58.01  61.93 
 511.0  58.00  58.01  61.93 
 512.1  58.00  58.01  61.93 
 513.0  58.00  58.01  61.94 
 514.0  58.00  58.01  61.94 
 515.0  58.00  58.01  61.81 
 516.0  58.00  58.01  61.81 
 517.1  58.00  58.01  61.81 
 518.1  58.00  58.01  61.81 
 519.1  58.00  58.01  61.81 
 520.0  58.00  58.01  61.68 
 521.0  58.00  58.01  61.68 
 522.0  58.00  58.01  61.68 
 523.0  54.00  58.01  60.06 
 524.1  54.00  58.01  58.41 
 525.1  54.00  58.01  56.75 
 526.0  54.00  58.01  55.06 
 527.1  54.00  58.01  53.36 
 528.1  54.00  58.01  51.63 
 529.0  54.00  58.01  49.88 
 530.1  54.00  58.01  48.10 
 531.0  54.00  58.01  46.31 
 532.0  54.00  58.01  44.50 
 533.0  54.00  57.69  42.79 
 534.0  54.00  57.69  41.07 
 535.1  54.00  57.69  39.32 
 536.1  54.00  57.69  37.56 
 537.1  54.00  57.69  35.77 
 538.0  54.00  57.69  35.59 
 539.1  54.00  57.69  35.41 
 540.0  54.00  57.69  35.23 
 541.0  54.00  57.69  35.06 
 542.0  54.00  57.37  35.01 
 543.1  54.00  57.37  34.97 
 544.0  54.00  57.37  34.93 
 545.0  54.00  57.37  34.90 
 546.0  54.00  57.37  34.87 
 547.0  54.00  57.37  34.84 
 548.1  54.00  57.05  34.82 
 549.0  54.00  57.05  34.80 
 550.1  54.00  57.05  34.78 
 551.1  54.00  57.05  34.77 
 552.0  54.00  57.05  34.76 
 553.1  54.00  56.72  34.88 
 554.1  54.00  56.72  35.01 
 555.0  54.00  56.72  35.15 
 556.1  54.00  56.72  35.29 
 557.0  54.00  56.40  35.43 
 558.0  54.00  56.40  35.58 
