tm     Tsp    T1     Q1    
 433.0  63.00  62.85  70.87  66.40
 434.0  63.00  62.85  70.89  66.40
 435.0  63.00  62.85  70.90  66.40
 436.0  63.00  62.85  70.91  66.40
 437.0  63.00  62.85  70.92  66.40
 438.0  63.00  62.85  70.94  66.40
 439.0  63.00  62.85  70.95  66.40
 440.0  63.00  62.85  70.96  66.40
 441.0  63.00  62.85  70.97  66.40
 442.0  63.00  62.85  70.98  66.40
 443.0  63.00  62.85  71.00  66.40
 444.0  63.00  62.85  71.01  66.40
 445.0  63.00  62.85  71.02  66.40
 446.0  63.00  62.85  71.03  66.40
 447.0  63.00  62.85  71.04  66.40
 448.0  63.00  62.85  71.06  66.40
 449.0  63.00  62.85  71.07  66.40
 450.0  63.00  62.85  71.08  66.40
 451.0  63.00  62.85  71.09  66.40
 452.0  63.00  62.85  71.10  66.40
 453.0  63.00  62.85  71.12  66.40
 454.0  63.00  62.85  71.13  66.40
 455.0  63.00  62.85  71.14  66.40
 456.0  63.00  62.85  71.15  66.40
 457.0  63.00  63.17  71.03  66.36
 458.0  63.00  63.17  70.91  66.28
 459.0  63.00  63.17  70.79  66.20
 460.0  63.00  62.85  70.80  66.16
 461.0  63.00  62.85  70.81  66.14
 462.0  63.00  62.85  70.81  66.14
 463.0  63.00  62.85  70.82  66.14
 464.0  63.00  63.17  70.70  66.09
 465.0  63.00  62.85  70.70  66.07
 466.0  63.00  62.85  70.71  66.06
 467.0  63.00  62.85  70.71  66.06
 468.0  63.00  63.17  70.59  66.02
 469.0  63.00  63.17  70.46  65.96
 470.0  63.00  62.85  70.46  65.94
 471.0  63.00  63.17  70.33  65.89
 472.0  63.00  63.17  70.33  65.89
 473.0  63.00  62.85  70.46  65.93
 474.0  63.00  62.85  70.60  65.98
 475.0  63.00  63.17  70.47  65.93
 476.0  63.00  63.17  70.34  65.86
 477.0  63.00  62.85  70.34  65.83
 478.0  63.00  63.17  70.21  65.78
 479.0  63.00  62.85  70.34  65.82
 480.0  63.00  62.85  70.34  65.82
 481.0  63.00  63.17  70.21  65.78
 482.0  63.00  62.85  70.21  65.77
 483.0  63.00  62.85  70.34  65.84
 484.0  63.00  63.17  70.34  65.87
 485.0  63.00  62.85  70.34  65.86
 486.0  63.00  62.85  70.47  65.92
 487.0  63.00  62.85  70.60  65.99
 490.0  63.00  63.17  70.47  65.95
 491.0  63.00  63.17  70.34  65.90
 492.0  63.00  63.17  70.34  65.89
 493.0  63.00  62.85  70.47  65.92
 494.0  63.00  62.85  70.48  65.92
 495.0  63.00  62.85  70.61  65.98
 496.0  63.00  63.17  70.48  65.94
 497.0  63.00  62.85  70.48  65.93
 498.0  63.00  63.17  70.48  65.94
 499.0  63.00  62.85  70.49  65.92
 500.0  63.00  63.17  70.36  65.87
 501.0  63.00  63.17  70.36  65.86
 502.0  63.00  63.17  70.23  65.79
 503.0  63.00  63.17  70.10  65.71
 504.0  63.00  62.85  70.09  65.69
 505.0  63.00  62.85  70.22  65.75
 506.0  63.00  63.17  70.22  65.77
 507.0  63.00  63.17  70.22  65.77
 508.0  63.00  63.17  70.08  65.69
 509.0  63.00  62.85  70.08  65.67
 510.0  63.00  62.85  70.08  65.67
 511.0  63.00  63.17  70.07  65.69
 512.0  63.00  63.17  69.94  65.63
 513.0  63.00  63.17  69.93  65.63
 514.0  63.00  63.17  69.80  65.56
 515.0  63.00  63.17  69.79  65.56
 516.0  63.00  62.85  69.92  65.60
 517.0  63.00  63.17  69.91  65.61
 518.0  63.00  62.85  70.04  65.66
 519.0  63.00  63.17  69.90  65.61
 520.0  63.00  63.17  69.77  65.55
 521.0  63.00  63.17  69.76  65.55
 522.0  63.00  63.17  69.75  65.54
 523.0  63.00  63.17  69.75  65.53
 524.0  63.00  62.85  69.74  65.50
 525.0  63.00  63.17  69.60  65.46
 526.0  63.00  63.17  69.59  65.47
 527.0  63.00  63.17  69.58  65.47
 528.0  63.00  63.17  69.58  65.47
 529.0  63.00  63.17  69.57  65.46
 530.0  63.00  63.17  69.56  65.45
 531.0  63.00  63.17  69.42  65.37
 532.0  63.00  63.17  69.41  65.37
 533.0  63.00  62.85  69.40  65.35
 534.0  63.00  62.85  69.52  65.42
 535.0  63.00  62.85  69.64  65.50
 536.0  63.00  63.17  69.64  65.54
 537.0  63.00  63.17  69.63  65.55
 538.0  63.00  62.85  69.75  65.59
 539.0  63.00  63.17  69.62  65.55
 540.0  63.00  62.85  69.74  65.61
 541.0  63.00  62.85  69.87  65.69
 542.0  63.00  62.85  69.99  65.77
 543.0  63.00  62.85  70.12  65.85
 544.0  63.00  62.85  70.25  65.93
 545.0  63.00  62.85  70.39  66.01
